ISBN;Title;Author;Year;Publisher
0195153448;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press
0002005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada
0060973129;Decision in Normandy;Carlo D'Este;1991;HarperPerennial
0374157065;Flu: The Story of the Great Influenza Pandemic;Gina Bari Kolata;1999;Farrar Straus Giroux
0393045218;The Mummies of Urumchi;E. J. W. Barber;1999;W. W. Norton & Company
0399135782;The Kitchen God's Wife;Amy Tan;1991;Putnam Pub Group
0425176428;What If?: The World's Foremost Military Historians;Robert Cowley;2000;Berkley Publishing Group
0679425608;Under the Black Flag;David Cordingly;1996;Random House
074322678X;Where You'll Find Me;Ann Beattie;2002;Scribner
0771074670;Nights Below Station Street;David Adams Richards;1988;Emblem Editions
080652121X;Hitler's Secret Bankers;Adam Lebor;2000;Citadel Press
0887841740;The Middle Stories;Sheila Heti;2004;House of Anansi Press
1552041778;Jane Doe;R. J. Kaiser;1999;Mira Books
1558746218;A Second Chicken Soup;Jack Canfield;1998;Health Communications
1567407781;The Witchfinder;Loren D. Estleman;1998;Brilliance Audio
0440234743;The Testament;John Grisham;1999;Dell
0452264464;Beloved;Toni Morrison;1994;Plume
0609804618;Our Dumb Century;The Onion;1999;Three Rivers Press
0345402871;Airframe;Michael Crichton;1997;Ballantine Books
0345417623;Timeline;Michael Crichton;2000;Ballantine Books
